Title,Description,Link
Wuyishan East Station to Wuyishan Scenic Area Line,"Wuyishan East Station to Wuyishan Scenic Area Line of Wuyi New District tourism and sightseeing rail transit is a newly-built project, in the sector of transportation, which is at the stage of implementation currently, with the Wuyi New District Management Committee of Nanping City as the implementing agency.",/en/zlk/999325.jhtml
"The ecological demonstration project of Yiluo River in Luoyang City, Henan Province","The ecological demonstration project of Yiluo River in Luoyang City, Henan Province is a newly built project, in the sector of water conservancy, which is at the stage of implementation currently, with the Luoyang Water Conservancy Bureau as the implementing agency.",/en/zlk/999302.jhtml
The lighting project of the buildings and streetscape around South Lake  in Xi’an City,"The lighting project of the buildings and streetscape around South Lake in Qujiang New District, Qujiang Avenue and South Third Ring Road in Xi’an City, Shaanxi Province is a newly built project, in the sector of the municipal engineering, which is at the stage of implementation currently, with Xi’an Qujiang New District Social Service Management Center as the implementing agency.",/en/zlk/999301.jhtml
The Huhan East Lake Greenway Phase II Project,"The Huhan East Lake Greenway Phase II Project is a newly-built PPP project, in the sector of municipal engineering, which is at the stage of implementation currently, with Wuhan Municipal Bureau of Gardening and Forestry as the implementing agency.",/en/zlk/999300.jhtml
The Governance and Restoration Project of Marine Ecological Corridor in the Main Island of Wenzhou City,"The Project is a newly-built PPP project, in the sector of ecological construction and environmental protection, which is at the stage of implementation currently, with the Bureau of Construction Works as the implementing agency. ",/en/zlk/999251.jhtml
Watershed Governance for the Botanical Garden Section (Nakao River) in the Upper Reaches of the Zhupai River in Nanning City,"The project is a newly-built project, in the sector of ecological construction and environmental protection - comprehensive treatment, which is at the stage of implementation currently, with the Nanning Urban River Management Office as the implementing agency. ",/en/zlk/999250.jhtml
"The Education and Culture Park in Yongsheng County, Lijiang city of Yunnan Province","The project is a newly-built project in the sector of compulsory education, which is at the stage of implementation currently, with the Bureau of Culture, Sports, Radio, Film, Press, Publication and Tourism in Yongsheng County as its implementing agency. ",/en/zlk/999249.jhtml
The Notice on announcement of the Fourth Batch of PPP Demonstration Projects,"Finance departments (bureaus) of all provinces, autonomous regions, municipalities directly under the Central Government and cities specifically designated in the state plan, and the Financial Bureau of Xinjiang Production and Construction Corps,",/en/xmjc/997200.jhtml
Fourth batch of PPP demonstration projects application launched by MOF and 19 departments,The Ministry of Finance and departments involved relevant industry jointly launched the fourth batch of PPP demonstration projects application on July 27,/en/xmjc/995677.jhtml
Analysis Report on the Third Batch of Demonstration Projects,"With the support from all sectors of society and the assistance from all ministries and commissions, the Ministry of Finance organized and completed the review and evaluation...",/en/xmjc/994686.jhtml
List of the Third Batch of PPP Demonstration Projects,Please see the attachment.,/en/xmjc/994697.jhtml
List of the Second Batch of PPP Demonstration Projects of the Ministry of Finance,List of the Second Batch of PPP Demonstration Projects of the Ministry of Finance,/en/xmjc/993992.jhtml
List of the First Batch of PPP Demonstration Projects,List of the First Batch of PPP Demonstration Projects,/en/xmjc/994002.jhtml
